GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
NTD_YAWSEND,Status of yaws endemicity,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/status-of-yaws-endemicity,2023,2023,2023,EMR,Eastern Mediterranean,JOR,Jordan,,,,,No previous history of yaws,,
NTD_TSOL4,Practice of backyard pig production,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/taenia-solium-practice-of-backyard-pig-production,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Absent,,
NTD_TSOL1,Status of endemicity of Taenia solium,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/status-of-endemicity-of-taenia-solium,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Non-endemic,,
NTD_TSOL4,Practice of backyard pig production,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/taenia-solium-practice-of-backyard-pig-production,2016,2016,2016,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Absent,,
NTD_TSOL3,Number of pigs in the country,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/taenia-solium-number-of-pigs-in-the-country,2020,2020,2020,EMR,Eastern Mediterranean,JOR,Jordan,,,,,No data,,
NTD_TSOL3,Number of pigs in the country,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/taenia-solium-number-of-pigs-in-the-country,2016,2016,2016,EMR,Eastern Mediterranean,JOR,Jordan,,,,0.0,0,,
NTD_6,Status of elimination of trachoma as a public health problem,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/status-of-elimination-of-trachoma-as-a-public-health-problem,2024,2024,2024,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Thought to not require interventions,,
NTD_BU_END,Status of endemicity of buruli ulcer,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/buruli-ulcer,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,,,,,Non-endemic,,
