GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
TAXBEV_EXCISE_TYPE,Type of excise tax applied on beverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--type-of-excise-tax-applied-on-non-alcoholic-beverage,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,Alcoholic,,Data not available,,
TAXBEV_EXCISE_APPLIED_YN,Excise taxes are applied on beverages,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--excise-taxes-are-applied-on-non-alcoholic-beverages,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,Alcoholic,,Data not available,,
TAXBEV_VATSALES,Value-added/sales tax on beverages (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--value-added-sales-tax-on-nonalcoholic-beverages,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,Alcoholic,,,,
TAXBEV_EXCISE_TYPE,Type of excise tax applied on beverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--type-of-excise-tax-applied-on-non-alcoholic-beverage,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_NONALCOHOLIC,Non-alcoholic,,Ad valorem,,
TAXBEV_EXCISE_TYPE,Type of excise tax applied on beverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--type-of-excise-tax-applied-on-non-alcoholic-beverage,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,Alcoholic,,Data not available,,
TAXBEV_TOTALTAXES,Total taxes on beverages (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--total-taxes-on-nonalcoholic-beverages,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,Alcoholic,,,,
TAXBEV_EXCISE_TYPE,Type of excise tax applied on beverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--type-of-excise-tax-applied-on-non-alcoholic-beverage,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_NONALCOHOLIC,Non-alcoholic,,Ad valorem,,
TAXBEV_PRICE,Beverage price,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--beverage-price--nonalcoholic,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,Alcoholic,,,,
TAXBEV_VATSALES,Value-added/sales tax on beverages (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--value-added-sales-tax-on-nonalcoholic-beverages,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,Alcoholic,,,,
TAXBEV_EXCISE_TYPE,Type of excise tax applied on beverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--type-of-excise-tax-applied-on-non-alcoholic-beverage,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_NONALCOHOLIC,Non-alcoholic,,Ad valorem,,
TAXBEV_OTHERTAXES,Other taxes on beverages (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--other-taxes-on-nonalcoholic-beverages,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,Alcoholic,,,,
TAXBEV_EXCISE_TYPE,Type of excise tax applied on beverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--type-of-excise-tax-applied-on-non-alcoholic-beverage,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_NONALCOHOLIC,Non-alcoholic,,Not applicable,,
TAXBEV_EXCISE_AUTOADJUST,Automatic adjustment of specific excise on beverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--automatic-adjustment-of-specific-excise-on-beverage,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,Alcoholic,,Data not available,,
TAXBEV_IMPORTDUTIES,Import duties on beverages (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--import-duties-on-nonalcoholic-beverages,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,Alcoholic,,,,
TAXBEV_PRICE,Beverage price,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--beverage-price--nonalcoholic,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_NONALCOHOLIC,Non-alcoholic,0.35,0.35,,
TAXBEV_EXCISE_TYPE,Type of excise tax applied on beverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--type-of-excise-tax-applied-on-non-alcoholic-beverage,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_NONALCOHOLIC,Non-alcoholic,,Not applicable,,
TAXBEV_PRICE,Beverage price,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--beverage-price--nonalcoholic,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,Alcoholic,,,,
